run_name,validation_accuracy,test_accuracy,test_loss,runtime_minutes,total_parameters,trainable_parameters,frozen_parameters
baseline_full_finetune,0.9574089874857793,0.9578546976036516,0.16602089687708824,1.367159733333392,134747153,134747153,0
partial_freeze_embeddings_first_3_layers,0.9526450511945392,0.9491821985545835,0.1804140846111945,0.7695679333332616,134747153,21276689,113470464
